Month,Department,Category,BudgetAmount,ActualAmount,TransactionCount,Variance,VariancePct,IsFlaggedAnomaly
2021-01,Finance,Infrastructure,823145,936919,10,113774,13.82,0
2021-01,Finance,Marketing,491647,708355,7,216708,44.08,1
2021-01,Finance,Salaries,748557,977691,10,229134,30.61,1
2021-01,Finance,Training,582456,639523,8,57067,9.8,0
2021-01,Finance,Travel,370326,555794,6,185468,50.08,1
2021-01,Finance,Utilities,687912,864861,10,176949,25.72,1
2021-01,HR,Infrastructure,760855,726979,9,-33876,-4.45,0
2021-01,HR,Marketing,448402,356578,5,-91824,-20.48,0
2021-01,HR,Salaries,594732,650322,8,55590,9.35,0
2021-01,HR,Training,425185,529881,4,104696,24.62,0
2021-01,HR,Travel,888983,1012870,12,123887,13.94,0
2021-01,HR,Utilities,1077080,998948,11,-78132,-7.25,0
2021-01,IT,Infrastructure,303864,228642,5,-75222,-24.76,0
2021-01,IT,Marketing,358954,497827,5,138873,38.69,1
2021-01,IT,Salaries,175708,107388,2,-68320,-38.88,1
2021-01,IT,Training,485017,337259,5,-147758,-30.46,1
2021-01,IT,Travel,291152,435575,6,144423,49.6,1
2021-01,IT,Utilities,828882,811742,10,-17140,-2.07,0
2021-01,Marketing,Infrastructure,667699,517689,6,-150010,-22.47,0
2021-01,Marketing,Marketing,930701,1265342,12,334641,35.96,1
2021-01,Marketing,Salaries,341456,590622,5,249166,72.97,1
2021-01,Marketing,Training,751892,1187270,12,435378,57.9,1
2021-01,Marketing,Travel,461702,734235,8,272533,59.03,1
2021-01,Marketing,Utilities,1130649,824523,11,-306126,-27.08,1
2021-01,Operations,Infrastructure,424549,496149,5,71600,16.86,0
2021-01,Operations,Marketing,121018,332975,3,211957,175.15,1
2021-01,Operations,Salaries,635513,808107,8,172594,27.16,1
2021-01,Operations,Training,686237,917121,10,230884,33.64,1
2021-01,Operations,Travel,587627,764148,8,176521,30.04,1
2021-01,Operations,Utilities,628509,634180,8,5671,0.9,0
2021-01,Sales,Infrastructure,663079,764029,8,100950,15.22,0
2021-01,Sales,Marketing,449538,443674,5,-5864,-1.3,0
2021-01,Sales,Salaries,683682,783057,10,99375,14.54,0
2021-01,Sales,Training,803450,1127041,11,323591,40.28,1
2021-01,Sales,Travel,889344,907963,10,18619,2.09,0
2021-01,Sales,Utilities,387906,437934,5,50028,12.9,0
2021-02,Finance,Infrastructure,796875,780712,8,-16163,-2.03,0
2021-02,Finance,Marketing,192992,397953,4,204961,106.2,1
2021-02,Finance,Salaries,230084,201201,3,-28883,-12.55,0
2021-02,Finance,Training,650640,809416,8,158776,24.4,0
2021-02,Finance,Travel,744988,844142,9,99154,13.31,0
2021-02,Finance,Utilities,535287,531420,5,-3867,-0.72,0
2021-02,HR,Infrastructure,145417,288287,3,142870,98.25,1
2021-02,HR,Marketing,728860,961734,11,232874,31.95,1
2021-02,HR,Salaries,209366,356192,3,146826,70.13,1
2021-02,HR,Training,539672,515980,6,-23692,-4.39,0
2021-02,HR,Travel,1117982,1262434,14,144452,12.92,0
2021-02,HR,Utilities,559276,500639,8,-58637,-10.48,0
2021-02,IT,Infrastructure,313725,230750,3,-82975,-26.45,1
2021-02,IT,Marketing,692645,639714,7,-52931,-7.64,0
2021-02,IT,Salaries,268732,387737,4,119005,44.28,1
2021-02,IT,Training,349176,286711,4,-62465,-17.89,0
2021-02,IT,Travel,740093,899571,10,159478,21.55,0
2021-02,IT,Utilities,450332,881488,7,431156,95.74,1
2021-02,Marketing,Infrastructure,302954,260647,3,-42307,-13.96,0
2021-02,Marketing,Marketing,252077,487456,4,235379,93.38,1
2021-02,Marketing,Salaries,248706,331482,4,82776,33.28,1
2021-02,Marketing,Training,777694,816097,9,38403,4.94,0
2021-02,Marketing,Travel,464246,603081,7,138835,29.91,1
2021-02,Marketing,Utilities,427609,391596,5,-36013,-8.42,0
2021-02,Operations,Infrastructure,965287,1335984,13,370697,38.4,1
2021-02,Operations,Marketing,677509,596417,8,-81092,-11.97,0
2021-02,Operations,Salaries,188953,205992,3,17039,9.02,0
2021-02,Operations,Training,596740,478250,6,-118490,-19.86,0
2021-02,Operations,Travel,413089,429916,6,16827,4.07,0
2021-02,Operations,Utilities,961481,833675,11,-127806,-13.29,0
2021-02,Sales,Infrastructure,414299,440402,6,26103,6.3,0
2021-02,Sales,Marketing,588737,632121,6,43384,7.37,0
2021-02,Sales,Salaries,606571,671837,6,65266,10.76,0
2021-02,Sales,Training,455153,746821,8,291668,64.08,1
2021-02,Sales,Travel,409611,426262,5,16651,4.07,0
2021-02,Sales,Utilities,125765,168146,1,42381,33.7,1
2021-03,Finance,Infrastructure,475837,929831,9,453994,95.41,1
2021-03,Finance,Marketing,476395,532210,6,55815,11.72,0
2021-03,Finance,Salaries,400505,656179,8,255674,63.84,1
2021-03,Finance,Training,455470,902110,7,446640,98.06,1
2021-03,Finance,Travel,400158,445482,6,45324,11.33,0
2021-03,Finance,Utilities,351932,595679,5,243747,69.26,1
2021-03,HR,Infrastructure,527276,574049,8,46773,8.87,0
2021-03,HR,Marketing,14481,54534,1,40053,276.59,1
2021-03,HR,Salaries,536025,577316,9,41291,7.7,0
2021-03,HR,Training,517950,625958,5,108008,20.85,0
2021-03,HR,Travel,1163819,886680,11,-277139,-23.81,0
2021-03,HR,Utilities,769552,1054356,9,284804,37.01,1
2021-03,IT,Infrastructure,465139,366249,5,-98890,-21.26,0
2021-03,IT,Marketing,851129,804689,9,-46440,-5.46,0
2021-03,IT,Salaries,869755,1304769,11,435014,50.02,1
2021-03,IT,Training,662774,425575,8,-237199,-35.79,1
2021-03,IT,Travel,357100,404587,4,47487,13.3,0
2021-03,IT,Utilities,581941,945406,8,363465,62.46,1
2021-03,Marketing,Infrastructure,229745,447407,5,217662,94.74,1
2021-03,Marketing,Marketing,913174,1053824,11,140650,15.4,0
2021-03,Marketing,Salaries,330411,316240,5,-14171,-4.29,0
2021-03,Marketing,Training,858784,977522,11,118738,13.83,0
2021-03,Marketing,Travel,443355,600439,6,157084,35.43,1
2021-03,Marketing,Utilities,811675,984821,9,173146,21.33,0
2021-03,Operations,Infrastructure,100334,156586,2,56252,56.06,1
2021-03,Operations,Marketing,665762,758423,10,92661,13.92,0
2021-03,Operations,Salaries,377128,1031755,8,654627,173.58,1
2021-03,Operations,Training,712872,728560,9,15688,2.2,0
2021-03,Operations,Travel,313703,442993,4,129290,41.21,1
2021-03,Operations,Utilities,495605,437857,6,-57748,-11.65,0
2021-03,Sales,Infrastructure,509997,595671,6,85674,16.8,0
2021-03,Sales,Marketing,968510,1326633,13,358123,36.98,1
2021-03,Sales,Salaries,270951,150702,3,-120249,-44.38,1
2021-03,Sales,Training,585585,597358,7,11773,2.01,0
2021-03,Sales,Travel,439711,533413,5,93702,21.31,0
2021-03,Sales,Utilities,843160,1070046,13,226886,26.91,1
2021-04,Finance,Infrastructure,518244,972096,10,453852,87.57,1
2021-04,Finance,Marketing,618855,825532,9,206677,33.4,1
2021-04,Finance,Salaries,361923,374845,4,12922,3.57,0
2021-04,Finance,Training,438877,663097,7,224220,51.09,1
2021-04,Finance,Travel,914623,871101,9,-43522,-4.76,0
2021-04,Finance,Utilities,586126,666369,10,80243,13.69,0
2021-04,HR,Infrastructure,221614,183382,3,-38232,-17.25,0
2021-04,HR,Marketing,759722,916154,11,156432,20.59,0
2021-04,HR,Salaries,499569,681522,7,181953,36.42,1
2021-04,HR,Training,622389,629913,8,7524,1.21,0
2021-04,HR,Travel,751469,736482,9,-14987,-1.99,0
2021-04,HR,Utilities,468941,826753,7,357812,76.3,1
2021-04,IT,Infrastructure,772635,1023342,11,250707,32.45,1
2021-04,IT,Marketing,255005,353086,4,98081,38.46,1
2021-04,IT,Salaries,457614,377581,6,-80033,-17.49,0
2021-04,IT,Training,38878,119409,1,80531,207.14,1
2021-04,IT,Travel,332792,446540,5,113748,34.18,1
2021-04,IT,Utilities,784650,613960,10,-170690,-21.75,0
2021-04,Marketing,Infrastructure,258578,351555,3,92977,35.96,1
2021-04,Marketing,Marketing,410467,595360,6,184893,45.04,1
2021-04,Marketing,Salaries,507790,870689,9,362899,71.47,1
2021-04,Marketing,Training,536565,1058944,8,522379,97.36,1
2021-04,Marketing,Travel,564686,861461,8,296775,52.56,1
2021-04,Marketing,Utilities,244227,148669,3,-95558,-39.13,1
2021-04,Operations,Infrastructure,305292,498844,4,193552,63.4,1
2021-04,Operations,Marketing,268123,398369,5,130246,48.58,1
2021-04,Operations,Salaries,548568,961847,8,413279,75.34,1
2021-04,Operations,Training,809167,734702,10,-74465,-9.2,0
2021-04,Operations,Travel,175391,152414,3,-22977,-13.1,0
2021-04,Operations,Utilities,492789,625962,6,133173,27.02,1
2021-04,Sales,Infrastructure,413024,582090,7,169066,40.93,1
2021-04,Sales,Marketing,1088361,1197765,13,109404,10.05,0
